Last login: Sat Dec  3 21:35:30 on ttys001
claminos@MacBook-Pro-di-Simona CP % python3 src/cp_exec.py -f 1 -l 40 -p -s gecode -r -sb
Instance: 1	Execution time: 0.347s	Best objective value: 8
Instance: 2	Execution time: 0.388s	Best objective value: 9
Instance: 3	Execution time: 0.382s	Best objective value: 10
Instance: 4	Execution time: 0.392s	Best objective value: 11
Instance: 5	Execution time: 0.390s	Best objective value: 12
Instance: 6	Execution time: 0.403s	Best objective value: 13
Instance: 7	Execution time: 1.493s	Best objective value: 14
Instance: 8	Execution time: 0.441s	Best objective value: 15
Instance: 9	Execution time: 1.183s	Best objective value: 16
Instance: 10	Execution time: 4.026s	Best objective value: 17
Instance: 11	No solution found	Execution time: 301.124s
Instance: 12	No solution found	Execution time: 301.117s
Instance: 13	No solution found	Execution time: 301.116s
Instance: 14	No solution found	Execution time: 301.084s
Instance: 15	No solution found	Execution time: 301.116s
Instance: 16	No solution found	Execution time: 301.117s
Instance: 17	No solution found	Execution time: 301.116s
Instance: 18	No solution found	Execution time: 301.150s
Instance: 19	No solution found	Execution time: 301.120s
Instance: 20	No solution found	Execution time: 301.121s
Instance: 21	No solution found	Execution time: 301.121s
Instance: 22	No solution found	Execution time: 301.113s
Instance: 23	No solution found	Execution time: 301.119s
Instance: 24	No solution found	Execution time: 301.095s
Instance: 25	No solution found	Execution time: 301.120s
Instance: 26	No solution found	Execution time: 301.119s
Instance: 27	No solution found	Execution time: 301.097s
Instance: 28	No solution found	Execution time: 301.114s
Instance: 29	No solution found	Execution time: 301.118s
Instance: 30	No solution found	Execution time: 301.122s
Instance: 31	No solution found	Execution time: 301.092s
Instance: 32	No solution found	Execution time: 301.118s
Instance: 33	No solution found	Execution time: 301.115s
Instance: 34	No solution found	Execution time: 301.115s
Instance: 35	No solution found	Execution time: 301.119s
Instance: 36	No solution found	Execution time: 301.118s
Instance: 37	No solution found	Execution time: 301.104s
Instance: 38	No solution found	Execution time: 301.117s
Instance: 39	No solution found	Execution time: 301.117s
Instance: 40	No solution found	Execution time: 301.130s
claminos@MacBook-Pro-di-Simona CP % 
